Ortholog class,Definition,Count
Core genes,(99% <= strains <= 100%),2154
Soft core genes,(95% <= strains < 99%),0
Shell genes,(15% <= strains < 95%),832
Cloud genes,(0% <= strains < 15%),3173
Total genes,(0% <= strains <= 100%),6159
