Isolate,#1 Match,%,#2 Match,%,#3 Match,%,#4 Match,%,Quality
SRR1922797,Yersinia pseudotuberculosis,42.04,unclassified,7.33,Yersinia pestis,1.19,Yersinia enterocolitica,0.29,&#10008;
SRR1922795,Yersinia pseudotuberculosis,48.03,unclassified,0.90,Yersinia pestis,0.06,Yersinia enterocolitica,0.02,&#10008;
SRR1922793,Yersinia pseudotuberculosis,40.50,unclassified,6.91,Yersinia pestis,1.13,Serratia plymuthica,0.23,&#10008;
SRR1922796,Yersinia pseudotuberculosis,44.44,unclassified,3.06,Yersinia pestis,1.21,Yersinia enterocolitica,0.20,&#10008;
SRR1922792,Yersinia pseudotuberculosis,41.64,unclassified,6.17,Yersinia pestis,1.34,Serratia plymuthica,0.23,&#10008;
SRR1922794,Yersinia pseudotuberculosis,43.99,unclassified,3.03,Yersinia pestis,1.15,Yersinia enterocolitica,0.18,&#10008;
