Isolate,Found
CFSAN000952,0
CFSAN000211,0
CFSAN000968,0
CFSAN001112,0
CFSAN000752,0
CFSAN000963,0
CFSAN001115,0
CFSAN000954,0
CFSAN000970,0
CFSAN000961,0
CFSAN000669,0
CFSAN000960,0
CFSAN001140,0
CFSAN000661,0
CFSAN000189,0
CFSAN000212,0
CFSAN000951,0
CFSAN000191,0
CFSAN001118,0
CFSAN000700,0
CFSAN000753,0
CFSAN000958,0
CFSAN000228,0
